What Causes P.A.D.?,"The most common cause of P.A.D. is atherosclerosis, a buildup of plaque in the arteries."
What are the symptoms of Peripheral Arterial Disease (P.A.D.) ?,Common Symptoms Some people with P.A.D. do not have any symptoms.
How to diagnose Peripheral Arterial Disease (P.A.D.) ?,"Medical History P.A.D. is diagnosed based on medical and family histories, a physical exam. "
Who is at risk for Peripheral Arterial Disease (P.A.D.)?,Smoking is the main risk factor for P.A.D. Your risk of P.A.D. increases four times if you smoke.
What are the symptoms of Peripheral Arterial Disease (P.A.D.) ?,"People have pain, numbness, aching, or heaviness in the leg muscles. "
How to prevent Peripheral Arterial Disease (P.A.D.) ?,"Smoking,lowering blood pressure,lowering high blood cholesterol levels,lowering high blood glucose levels."
what research is being done for Peripheral Arterial Disease (P.A.D.) ?,(NHLBI) supports research aimed at learning more about peripheral arterial disease. 
What is (are) Prescription and Illicit Drug Abuse ?,"The prescription medications most commonly abused by people (painkillers),depressants,and stimulants."
What causes Prescription and Illicit Drug Abuse ?,Medications affect older people differently than younger people.
What are the symptoms of Prescription and Illicit Drug Abuse ?,"sleep problems, falls, mood swings, anxiety, depression, and memory problems."
What is (are) Prescription and Illicit Drug Abuse ?,Physical dependence is a normal process that can happen to anyone taking a medication for a long time.
What are the treatments for Prescription and Illicit Drug Abuse ?,"Treatment may include medications,behavioral treatments,or a combination."
How to prevent Prescription and Illicit Drug Abuse ?," If you are not sure how to take a medicine correctly,ask your doctor or pharmacist."
What is (are) Problems with Smell ?,Any loss in our sense of smell can have a negative effect on our quality of life.
What causes Problems with Smell ?,Respiratory infections such as the flu can lead to smell disorders.
What are the symptoms of Problems with Smell ?,"A decreased sense of smell,headaches, dizziness, shortness of breath,anxiety."
What are the treatments for Problems with Smell ?,"If you quit smoking, you may notice some improvement.Check with your doctor."
How to prevent Problems with Smell ?,Treat Sinus and Nasal Conditions.Your doctor may prescribe an antibiotic or anti-inflammatory drug.
How to diagnose Problems with Smell ?,"Specialized X-ray procedure, usually a CT scan, to look further into the nose and sinuses. "
what research is being done for Problems with Smell ?,(NIDCD) supports basic and clinical investigations of smell and taste disorders.
What is (are) Problems with Taste ?,"There is a small decline in taste in people over 60,most older people will not notice."
What causes Problems with Taste ?,"Sometimes exposure to certain chemicals, such as insecticides and solvents, can impair taste. "
What are the symptoms of Problems with Taste ?,"Some people have hypogeusia, or the reduced ability to taste sweet, sour, bitter, salty, and savory,or umami."
What are the treatments for Problems with Taste ?,"Relief Is Possible Although there is no treatment,relief from taste disorders is possible."
what research is being done for Problems with Taste ?,NIDCD supports basic and clinical investigations of smell and taste disorders.
How many people are affected by Problems with Taste ?,"Roughly 200,000 people each year visit a doctor for a chemosensory problem such as a taste disorder."
How to prevent Problems with Taste ?,Problems with taste that occur with aging cannot be prevented.
How to diagnose Problems with Taste ?,Doctors can diagnose a taste disorder by measuring the lowest concentration of a substance that a person can detect.
What is (are) Prostate Cancer ?,"Tumors can be benign, which means Prostate Cancer Occurs when a tumor forms in the tissue of the prostate. "
Who is at risk for Prostate Cancer? ,Age is the most important risk factor for prostate cancer.
What are the symptoms of Prostate Cancer ?,"Inability to urinate,weak or interrupted flow of urine,painful or burning urination."
What are the treatments for Prostate Cancer ?,Medical oncologist who is a specialist in cancer treatment in radiation therapy. 
How many people are affected by Prostate Cancer ?,Prostate cancer is one of the most common types of cancer among American men.
What causes Prostate Cancer ?,Cannot explain why one man gets prostate cancer and another does not.
How to diagnose Prostate Cancer ?,Doctors use tests to detect prostate abnormalities.
What is (are) Psoriasis ?,Psoriasis is a chronic skin disease.
What causes Psoriasis ?, Scientists believe it is related to a problem with a type of blood cells called T cells.
What are the symptoms of Psoriasis ?,"Patches of thick, red skin,skin inflammation,silvery scales,itching,pain. "
What are the treatments for Psoriasis ?,"The goals of psoriasis treatment are increased production of skin cells,and to remove scales and smooth rough skin."
How to diagnose Psoriasis ?,"In most cases,primary care doctor can diagnose psoriasis simply by examining your skin."
what research is being done for Psoriasis?,"Making headway in several different areas,including the role of T cells,new treatments,psoriasis genes."
What is (are) Quitting Smoking for Older Adults ?,Main reason for quitting was for their health or due to their doctors advice. 
What causes Quitting Smoking for Older Adults ?,Increases the risk of many types of cancer.
What is (are) Rheumatoid Arthritis ?," An inflammatory disease that causes pain, swelling, stiffness,and loss of function in the joints. "
What are the symptoms of Rheumatoid Arthritis ?,Swelling and Pain in the Joints Different types of arthritis have different symptoms.
What are the treatments for Rheumatoid Arthritis ?,"Exercise can also help people sleep well, reduce pain, maintain a positive attitude,and manage weight."
What causes Rheumatoid Arthritis ?,"Many factors such as genetics, hormones, and the environment. "
what research (or clinical trials) is being done for Rheumatoid Arthritis ?,Scientists are making rapid progress in understanding the complexities of rheumatoid arthritis.
How to diagnose Rheumatoid Arthritis ?,Difficult to diagnose in its early stages because the full range of symptoms develops over time.
What is (are) Shingles ?,Shingles is a painful rash that develops on one side of the face or body.
What causes Shingles ?,Caused by a virus called varicella-zoster virus.
How to prevent Shingles ?, The U.S. Food and Drug Administration approved a vaccine (Zostavax) to prevent shingles in people age 60 and older.
What are the symptoms of Shingles ?,"Burning, Itching, Tingling, Then a Rash An outbreak of shingles usually begins with a burning."
What are the treatments for Shingles ?,See your healthcare provider within 72 hours of the first sign of the rash. 
Who is at risk for Shingles? ,Fifty percent of all Americans will have had shingles by the time they are 80.
How to diagnose Shingles ?,"In cases where there is no rash or the diagnosis is questionable, healthcare providers can do a blood test."
What are the complications of Shingles ?,The most common complication of shingles is pain-a condition called post-herpetic neuralgia.
What is (are) Skin Cancer ?,Skin cancer is the most common type of cancer & occurs in more than a million people each year.
What causes Skin Cancer ?,UVC is the least dangerous because although it can cause the most damage to the skin.
What are the symptoms of Skin Cancer ?,A change on the skin is the most common sign of skin cancer. 
How to diagnose Skin Cancer ?,For skin cancer by performing a total-body skin examination.
What are the treatments for Skin Cancer ?,You should talk with your doctor and make treatment decisions as soon as possible.
Who is at risk for Skin Cancer?, Who exposure to ultraviolet (UV) rays from the sun.
what research is being done for Skin Cancer ?,Physician Data Query (PDQ) to present evidence from the most recent research on melanoma and other skin cancers.
What is (are) Stroke ?,"Stroke -- A Serious Event A stroke is serious, just like a heart attack."
What are the symptoms of Stroke ?,"sudden numbness or weakness of the face,arm, or leg,trouble speaking."
Who is at risk for Stroke? ,"stroke risk increase may be due to a rise in risk factors such as diabetes, obesity,and high cholesterol."
How to prevent Stroke ?,Lifestyle changes that have cut the stroke death rate nearly in half in the last two decades. 
What are the treatments for Stroke ?,"Prevention, therapy immediately after stroke, and rehabilitation after stroke."
What is (are) Surviving Cancer ?,"Problems are often caused by physical changes, such as erectile dysfunction. "
What are the symptoms of Surviving Cancer ?,"feelings of worry,sadness,and hopelessness,feeling overwhelmed."
How to diagnose Surviving Cancer ?,High doses of chemotherapy and radiation that are used to treat cancer.
What are the treatments for Surviving Cancer ?,"Radiation or surgery to the head and neck,the lining of your mouth,and the glands that make saliva."
What is (are) Urinary Incontinence ?,Urinary incontinence means a person leaks urine by accident.
What causes Urinary Incontinence ?,"During urination, muscles in the bladder tighten to move urine into a tube called the urethra."
How to diagnose Urinary Incontinence ?,The first step in treating urinary incontinence is to see a health care provider. 
What are the treatments for Urinary Incontinence ?,"Medicines for urgency urinary incontinence come as pills, liquid, creams, or patches."
What is (are) Urinary Tract Infections ?,A Common Problem With Aging Urinary tract infections (UTIs) are a common bladder problem.
What causes Urinary Tract Infections ?,Most are caused by bacteria that enter the urethra and then the bladder.
What are the symptoms of Urinary Tract Infections ?,"cloudy, bloody,or foul-smelling urine,pain or burning during urination,strong and frequent need to urinate."
How to prevent Urinary Tract Infections ?,Wipe from front to back after using the toilet.
Who is at risk for Urinary Tract Infections?,Although everyone has some risk for UTIs.
What are the treatments for Urinary Tract Infections ?,Antibiotics are the usual treatment. 
What is (are) Lynch syndrome ?,An inherited disorder that increases the risk of colon and rectum. 
How many people are affected by Lynch syndrome ?,"In the United States,about 140,000 new cases of colorectal cancer are diagnosed each year."
What are the genetic changes related to Lynch syndrome ?,"Variations in the MLH1, MSH2, MSH6, PMS2, or EPCAM gene increase the risk. "
Is Lynch syndrome inherited ?,"An autosomal dominant pattern,which means one inherited copy of the altered gene in each cell. "
What are the treatments for Lynch syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) lysinuric protein intolerance ?,Lysinuric protein intolerance is a disorder caused by the body's inability to digest.
How many people are affected by lysinuric protein intolerance ?,"Estimated to occur in 1 in 60,000 newborns in Finland and 1 in 57,000 newborns in Japan."
What are the genetic changes related to lysinuric protein intolerance ?,Mutations in the SLC7A7 gene cause lysinuric protein intolerance.
Is lysinuric protein intolerance inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for lysinuric protein intolerance ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) Mabry syndrome ?,"Mabry syndrome is a condition characterized by intellectual disability, distinctive facial features."
How many people are affected by Mabry syndrome ?,"Mabry syndrome is likely a rare condition, but its prevalence is unknown."
What are the genetic changes related to Mabry syndrome ?,"Mutations in the PIGV, PIGO, or PGAP2 gene cause Mabry syndrome."
What are the treatments for Mabry syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation, Palliative Care."
What is (are) Maffucci syndrome ?,Maffucci syndrome is a disorder that primarily affects the bones and skin.
How many people are affected by Maffucci syndrome ?,Maffucci syndrome is very rare. 
What are the genetic changes related to Maffucci syndrome ?,The disorder is caused by mutations in the IDH1 or IDH2 gene.
Is Maffucci syndrome inherited ?,Maffucci syndrome is not inherited.
What are the treatments for Maffucci syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) Mainzer-Saldino syndrome ?,"A disorder characterized by kidney disease, eye problems, and skeletal abnormalities.  "
How many people are affected by Mainzer-Saldino syndrome ?,Mainzer-Saldino syndrome is a rare disorder; its prevalence is unknown.
What are the genetic changes related to Mainzer-Saldino syndrome ?,Mainzer-Saldino syndrome is usually caused by mutations in the IFT140 gene.
Is Mainzer-Saldino syndrome inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for Mainzer-Saldino syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) Majeed syndrome ?,A rare condition characterized by recurrent episodes of fever and inflammation in the bones and skin.
How many people are affected by Majeed syndrome ?,Majeed syndrome appears to be very rare.
What are the genetic changes related to Majeed syndrome ?,Majeed syndrome results from mutations in the LPIN2 gene.
Is Majeed syndrome inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for Majeed syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) mal de Meleda ?,Mal de Meleda is a rare skin disorder that begins in early infancy.
How many people are affected by mal de Meleda ?,Mal de Meleda is a rare disorder; its prevalence is unknown. 
What are the genetic changes related to mal de Meleda ?,Mal de Meleda is caused by mutations in the SLURP1 gene.
Is mal de Meleda inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for mal de Meleda ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) malignant hyperthermia ?,A severe reaction to particular drugs that are often used during surgery and other invasive procedures.
How many people are affected by malignant hyperthermia ?,"Malignant hyperthermia occurs in 1 in 5,000 to 50,000 instances."
What are the genetic changes related to malignant hyperthermia ?,Variations of the CACNA1S and RYR1 genes increase the risk of developing malignant hyperthermia. 
Is malignant hyperthermia inherited ?,Malignant hyperthermia susceptibility is inherited in an autosomal dominant pattern.
What are the treatments for malignant hyperthermia ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) malignant migrating partial seizures of infancy ?,A severe form of epilepsy that begins very early in life.
How many people are affected by malignant migrating partial seizures of infancy ?,"MMPSI is a rare condition. Although its prevalence is unknown,approximately 100 cases."
What are the genetic changes related to malignant migrating partial seizures of infancy ?,The genetic cause of MMPSI is not fully known.
Is malignant migrating partial seizures of infancy inherited ?,MMPSI is not inherited from a parent and does not run in families.
What are the treatments for malignant migrating partial seizures of infancy ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) malonyl-CoA decarboxylase deficiency ?,A condition that prevents the body from converting certain fats to energy. 
How many people are affected by malonyl-CoA decarboxylase deficiency ?,This condition is very rare; fewer than 30 cases have been reported.
What are the genetic changes related to malonyl-CoA decarboxylase deficiency ?,Mutations in the MLYCD gene cause malonyl-CoA decarboxylase deficiency.
Is malonyl-CoA decarboxylase deficiency inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for malonyl-CoA decarboxylase deficiency ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) mandibuloacral dysplasia ?,"A condition that causes a variety of abnormalities involving bone development, skin coloring, and fat distribution."
How many people are affected by mandibuloacral dysplasia ?,Mandibuloacral dysplasia is a rare condition;its prevalence is unknown.
What are the genetic changes related to mandibuloacral dysplasia ?,The two forms of mandibuloacral dysplasia are caused by mutations in different genes.
Is mandibuloacral dysplasia inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for mandibuloacral dysplasia ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) mandibulofacial dysostosis with microcephaly ?,A disorder that causes abnormalities of the head and face. 
How many people are affected by mandibulofacial dysostosis with microcephaly ?,MFDM is a rare disorder; its exact prevalence is unknown.
What are the genetic changes related to mandibulofacial dysostosis with microcephaly ?,MFDM is caused by mutations in the EFTUD2 gene. 
Is mandibulofacial dysostosis with microcephaly inherited ?,This condition is inherited in an autosomal dominant pattern.
What are the treatments for mandibulofacial dysostosis with microcephaly ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation,Genetic Counseling."
What is (are) Manitoba oculotrichoanal syndrome ?,"A condition affecting the eyes (oculo-), hair(tricho-), and anus(-anal)."
How many people are affected by Manitoba oculotrichoanal syndrome ?,"Estimated to occur in 2 to 6 in 1,000 people in a small isolated Ojibway-Cree community."
What are the genetic changes related to Manitoba oculotrichoanal syndrome ?,Manitoba oculotrichoanal syndrome is caused by mutations in the FREM1 gene.
Is Manitoba oculotrichoanal syndrome inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for Manitoba oculotrichoanal syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) mannose-binding lectin deficiency ?,Mannose-binding lectin deficiency is a condition that affects the immune system.
How many people are affected by mannose-binding lectin deficiency ?,Affect approximately 5 to 10 percent of people worldwide.
What are the genetic changes related to mannose-binding lectin deficiency ?,Relatively common mutations in the MBL2 gene can lead.
Is mannose-binding lectin deficiency inherited ?,The inheritance pattern of mannose-binding lectin deficiency is unclear.
What are the treatments for mannose-binding lectin deficiency ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) maple syrup urine disease ?,An inherited disorder in which the body is unable to process certain protein building block properly.
How many people are affected by maple syrup urine disease ?,"Maple syrup urine disease affects an estimated 1 in 185,000 infants worldwide. "
What are the genetic changes related to maple syrup urine disease ?,"Mutations in the BCKDHA, BCKDHB, and DBT genes can cause maple syrup urine disease. "
Is maple syrup urine disease inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for maple syrup urine disease ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) Marfan syndrome ?,A disorder that affects the connective tissue in many parts of the body.
How many people are affected by Marfan syndrome ?,"The incidence approximately 1 in 5,000 worldwide."
What are the genetic changes related to Marfan syndrome ?,Mutations in the FBN1 gene cause Marfan syndrome. 
Is Marfan syndrome inherited ?,This condition is inherited in an autosomal dominant pattern.
What are the treatments for Marfan syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) Marinesco-Sjgren syndrome ?,A condition that has a variety of signs and symptoms affecting many tissues.
How many people are affected by Marinesco-Sjgren syndrome ?,Marinesco-Sjgren syndrome appears to be a rare condition. 
What are the genetic changes related to Marinesco-Sjgren syndrome ?,Mutations in the SIL1 gene cause Marinesco-Sjgren syndrome.
Is Marinesco-Sjgren syndrome inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for Marinesco-Sjgren syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) maternally inherited diabetes and deafness ?,"A form of diabetes that is often accompanied by hearing loss,especially of high tones."
How many people are affected by maternally inherited diabetes and deafness ?,About 1 percent of people with diabetes have MIDD.
What are the genetic changes related to maternally inherited diabetes and deafness ?,"Mutations in the MT-TL1, MT-TK, or MT-TE gene cause MIDD."
Is maternally inherited diabetes and deafness inherited ?,MIDD is inherited in a mitochondrial pattern.
What are the treatments for maternally inherited diabetes and deafness ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) Mayer-Rokitansky-Kster-Hauser syndrome ?,A disorder that occurs in females and mainly affects the reproductive system.
How many people are affected by Mayer-Rokitansky-Kster-Hauser syndrome ?,"MRKH syndrome affects approximately 1 in 4,500 newborn girls."
What are the genetic changes related to Mayer-Rokitansky-Kster-Hauser syndrome ?,The cause of MRKH syndrome is unknown.
Is Mayer-Rokitansky-Kster-Hauser syndrome inherited ?,Most cases of MRKH syndrome occur in people with no history of the disorder in their family.
What are the treatments for Mayer-Rokitansky-Kster-Hauser syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) McCune-Albright syndrome ?,"A disorder that affects the bones, skin, and several hormone-producing (endocrine) tissues. "
How many people are affected by McCune-Albright syndrome ?,"Occurs in between 1 in 100,000 and 1 in 1,000,000 people worldwide."
What are the genetic changes related to McCune-Albright syndrome ?,McCune-Albright syndrome is caused by a mutation in the GNAS gene. 
Is McCune-Albright syndrome inherited ?,McCune-Albright syndrome is not inherited. 
What are the treatments for McCune-Albright syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) McKusick-Kaufman syndrome ?,"A condition that affects the development of the hands and feet,heart,and reproductive system."
How many people are affected by McKusick-Kaufman syndrome ?,"Old Order Amish population, where it affects an estimated 1 in 10,000 people."
What are the genetic changes related to McKusick-Kaufman syndrome ?,Mutations in the MKKS gene cause McKusick-Kaufman syndrome.
Is McKusick-Kaufman syndrome inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for McKusick-Kaufman syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) McLeod neuroacanthocytosis syndrome ?,A neurological disorder that occurs almost exclusively in boys and men.
How many people are affected by McLeod neuroacanthocytosis syndrome ?,Syndrome is rare;approximately 150 cases worldwide.
What are the genetic changes related to McLeod neuroacanthocytosis syndrome ?,Mutations in the XK gene cause McLeod neuroacanthocytosis syndrome. 
Is McLeod neuroacanthocytosis syndrome inherited ?,McLeod neuroacanthocytosis syndrome is inherited in an X-linked recessive pattern.
What are the treatments for McLeod neuroacanthocytosis syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) Meckel syndrome ?,A disorder with severe signs and symptoms that affect many parts of the body.
How many people are affected by Meckel syndrome ?,"Meckel syndrome affects 1 in 13,250 to 1 in 140,000 people worldwide."
What are the genetic changes related to Meckel syndrome ?,Meckel syndrome can be caused by mutations in one of at least eight genes.
Is Meckel syndrome inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for Meckel syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) MECP2 duplication syndrome ?,A condition that occurs almost exclusively in males and is characterized by moderate to severe intellectual disability.
How many people are affected by MECP2 duplication syndrome ?,The prevalence of MECP2 duplication syndrome is unknown.
What are the genetic changes related to MECP2 duplication syndrome ?,MECP2 duplication syndrome is caused by a genetic change in which there is an extra copy of the MECP2 gene.
Is MECP2 duplication syndrome inherited ?,MECP2 duplication syndrome is inherited in an X-linked pattern.
What are the treatments for MECP2 duplication syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) MECP2-related severe neonatal encephalopathy ?,A neurological disorder that primarily affects males and causes brain dysfunction.
How many people are affected by MECP2-related severe neonatal encephalopathy ?,MECP2-related severe neonatal encephalopathy is likely a rare condition. 
What are the genetic changes related to MECP2-related severe neonatal encephalopathy ?,Mutations in the MECP2 gene cause MECP2-related severe neonatal encephalopathy.
Is MECP2-related severe neonatal encephalopathy inherited ?,MECP2-related severe neonatal encephalopathy has an X-linked pattern of inheritance.
What are the treatments for MECP2-related severe neonatal encephalopathy ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) medium-chain acyl-CoA dehydrogenase deficiency ?,"A condition that prevents the body from converting certain fats to energy, particularly during (fasting).  "
How many people are affected by medium-chain acyl-CoA dehydrogenase deficiency ?,"In the United States,the estimated incidence of MCAD deficiency is 1 in 17,000 people."
What are the genetic changes related to medium-chain acyl-CoA dehydrogenase deficiency ?,Mutations in the ACADM gene cause MCAD deficiency.
Is medium-chain acyl-CoA dehydrogenase deficiency inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for medium-chain acyl-CoA dehydrogenase deficiency ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) medullary cystic kidney disease type 1 ?,Medullary cystic kidney disease type 1 (MCKD1) is an inherited condition that affects the kidneys.
How many people are affected by medullary cystic kidney disease type 1 ?,"MCKD1 is a rare disorder, although its prevalence is unknown."
What are the genetic changes related to medullary cystic kidney disease type 1 ?,MCKD1 is caused by mutations in the MUC1 gene.
Is medullary cystic kidney disease type 1 inherited ?,This condition is inherited in an autosomal dominant pattern.
What are the treatments for medullary cystic kidney disease type 1 ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) Meesmann corneal dystrophy ?,"An eye disease that affects the cornea, which is the clear front covering of the eye."
How many people are affected by Meesmann corneal dystrophy ?,Meesmann corneal dystrophy is a rare disorder whose prevalence is unknown. 
What are the genetic changes related to Meesmann corneal dystrophy ?,Meesmann corneal dystrophy can result from mutations in either the KRT12 gene or the KRT3 gene. 
Is Meesmann corneal dystrophy inherited ?,This condition is inherited in an autosomal dominant pattern.
What are the treatments for Meesmann corneal dystrophy ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) megalencephalic leukoencephalopathy with subcortical cysts ?,A progressive condition that affects brain development and function.
How many people are affected by megalencephalic leukoencephalopathy with subcortical cysts ?,A rare condition; its exact prevalence is unknown.
What are the genetic changes related to megalencephalic leukoencephalopathy with subcortical cysts ?,Cause megalencephalic leukoencephalopathy with subcortical cysts type 1.
Is megalencephalic leukoencephalopathy with subcortical cysts inherited ?,Caused by mutations in the MLC1 genes are inherited in an autosomal recessive pattern.
What are the treatments for megalencephalic leukoencephalopathy with subcortical cysts ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) megalencephaly-capillary malformation syndrome ?,A disorder characterized by overgrowth of several tissues in the body. 
How many people are affected by megalencephaly-capillary malformation syndrome ?,The prevalence of MCAP is unknown. 
What are the genetic changes related to megalencephaly-capillary malformation syndrome ?,MCAP is caused by mutations in the PIK3CA gene.
Is megalencephaly-capillary malformation syndrome inherited ?,MCAP is not inherited from a parent and does not run in families. 
What are the treatments for megalencephaly-capillary malformation syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) MEGDEL syndrome ?,MEGDEL syndrome is an inherited disorder that affects multiple body systems. 
How many people are affected by MEGDEL syndrome ?,MEGDEL syndrome is a rare disorder;its prevalence is unknown.
What are the genetic changes related to MEGDEL syndrome ?,MEGDEL syndrome is caused by mutations in the SERAC1 gene. 
Is MEGDEL syndrome inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for MEGDEL syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) Meier-Gorlin syndrome ?,Meier-Gorlin syndrome is a condition primarily characterized by short stature. 
How many people are affected by Meier-Gorlin syndrome ?,Meier-Gorlin syndrome is a rare condition;its prevalence is unknown.
What are the genetic changes related to Meier-Gorlin syndrome ?,Meier-Gorlin syndrome can be caused by mutations in one of several genes.
Is Meier-Gorlin syndrome inherited ?,This condition is inherited in an autosomal recessive pattern.
What are the treatments for Meier-Gorlin syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) Meige disease ?,A condition that affects the normal function of the lymphatic system.
How many people are affected by Meige disease ?,The prevalence of Meige disease is unknown.
What are the genetic changes related to Meige disease ?,The cause of Meige disease is unknown. 
Is Meige disease inherited ?,Meige disease appears to have an autosomal dominant pattern of inheritance. 
What are the treatments for Meige disease ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
What is (are) Melnick-Needles syndrome ?,A disorder involving abnormalities in skeletal development and other health problems.
How many people are affected by Melnick-Needles syndrome ?,Melnick-Needles syndrome is a rare disorder.
What are the genetic changes related to Melnick-Needles syndrome ?,Mutations in the FLNA gene cause Melnick-Needles syndrome.
Is Melnick-Needles syndrome inherited ?,This condition is inherited in an X-linked dominant pattern.
What are the treatments for Melnick-Needles syndrome ?,"Diagnostic Tests,Drug Therapy,Surgery and Rehabilitation."
